id,timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
113,2026-05-20 16:17:08.826,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0
114,2026-05-20 16:17:09.029,EB,8,0D,0A,0D,0,0,0,0,59,0,0,0,1,3,0
115,2026-05-20 16:17:09.235,0,0,0,EE,8,0D,0A,0D,0,0,0,0,59,0,0,0
116,2026-05-20 16:17:09.449,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,58
117,2026-05-20 16:17:09.655,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0
118,2026-05-20 16:17:09.668,0,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A
119,2026-05-20 16:17:09.871,0D,0,0,0,0,57,0,0,0,1,3,0,0,0,0,EE
120,2026-05-20 16:17:10.075,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0
121,2026-05-20 16:17:10.288,0,0,EE,8,0D,0A,0D,0,0,0,0,57,0,0,0,1
122,2026-05-20 16:17:10.498,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,57,0
123,2026-05-20 16:17:10.707,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0
124,2026-05-20 16:17:10.901,0,56,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D
125,2026-05-20 16:17:10.917,0,0,0,0,57,0,0,0,1,3,0,0,0,0,EB,8
126,2026-05-20 16:17:11.128,0D,0A,0D,0,0,0,0,56,0,0,0,1,3,0,0,0
127,2026-05-20 16:17:11.333,0,EB,8,0D,0A,0D,0,0,0,0,57,0,0,0,1,3
128,2026-05-20 16:17:11.547,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,56,0,0
129,2026-05-20 16:17:11.757,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0
130,2026-05-20 16:17:11.965,57,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0
131,2026-05-20 16:17:11.979,0,0,0,56,0,0,0,1,3,0,0,0,0,EB,8,0D
132,2026-05-20 16:17:12.172,0A,0D,0,0,0,0,57,0,0,0,1,3,0,0,0,0
133,2026-05-20 16:17:12.382,EB,8,0D,0A,0D,0,0,0,0,56,0,0,0,1,3,0
134,2026-05-20 16:17:12.598,0,0,0,EE,8,0D,0A,0D,0,0,0,0,57,0,0,0
135,2026-05-20 16:17:12.809,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,57
136,2026-05-20 16:17:13.018,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0
137,2026-05-20 16:17:13.028,0,0,57,0,0,0,1,3,0,0,0,0,EB,8,0D,0A
138,2026-05-20 16:17:13.246,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EE
139,2026-05-20 16:17:13.443,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0
140,2026-05-20 16:17:13.648,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1
141,2026-05-20 16:17:13.859,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,58,0
142,2026-05-20 16:17:14.069,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0
143,2026-05-20 16:17:14.271,0,57,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D
144,2026-05-20 16:17:14.271,0,0,0,0,57,0,0,0,1,3,0,0,0,0,EE,8
145,2026-05-20 16:17:14.491,0D,0A,0D,0,0,0,0,57,0,0,0,1,3,0,0,0
146,2026-05-20 16:17:14.699,0,EB,8,0D,0A,0D,0,0,0,0,57,0,0,0,1,3
147,2026-05-20 16:17:14.911,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,58,0,0
148,2026-05-20 16:17:15.117,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0
149,2026-05-20 16:17:15.328,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0
150,2026-05-20 16:17:15.347,0,0,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D
151,2026-05-20 16:17:15.545,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0
152,2026-05-20 16:17:15.754,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0
153,2026-05-20 16:17:15.956,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0
154,2026-05-20 16:17:16.165,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,58
155,2026-05-20 16:17:16.381,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0
156,2026-05-20 16:17:16.394,0,0,58,0,0,0,1,3,0,0,0,0,EE,8,0D,0A
157,2026-05-20 16:17:16.597,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EB
158,2026-05-20 16:17:16.806,8,0D,0A,0D,0,0,0,0,57,0,0,0,1,3,0,0
159,2026-05-20 16:17:17.013,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1
160,2026-05-20 16:17:17.216,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,57,0
161,2026-05-20 16:17:17.432,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0
162,2026-05-20 16:17:17.641,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D
163,2026-05-20 16:17:17.664,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EB,8
164,2026-05-20 16:17:17.858,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0
165,2026-05-20 16:17:18.067,0,EB,8,0D,0A,0D,0,0,0,0,57,0,0,0,1,3
